selected_text;sentiment
Not even better;negative
d absolutely loved it;positive
while having some fun;positive
So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!;negative
getting sick... Ugh I`m losing my voice!;negative
they make my gums hurt;negative
finally got the sleep i needed;positive
down.;negative
Heading south on I-95.  Jacked mess around SR 234;neutral
i wud do but im at work   srry;neutral
I just got my leavers do dress!!!!;neutral
when you know u aint done the wrong;positive
died;negative
lunch;positive
ne just doesn`t want to work;negative
My new design portfolio is finally online: http://www.designia.nl - Still needs some tweaking on the details but it`s ok for now,;neutral
e crazy;positive
sad;negative
h thank you;positive
Hopefully;positive
mmm, athletic!!;neutral
Missing;negative
Playing Monopoly Jr. with the lil one.. Cheating isn`t as much fun when the other person has absolutely no idea;neutral
fail;negative
super great flick though.;positive
THIS WEBSITE GAVE ME A VIRUS!;negative
sarcy;negative
I skip school way too often  I`m rather proud actually.;positive
liking your style Alice;positive
Why do you guys use camera angles that make it look like there are only 200 people in the building?;neutral
lOve;positive
I got paint in my hair;neutral
e hope;positive
super duper excited;positive
crazy;positive
hurt..;negative
dropped;negative
nobody loves me on twitter;negative
@_finn_ Except I dropped him on my break and now he`s got a ding in his side.  At least it wasn`t the screen.;neutral
good;positive
SO funny..;positive
nasty;negative
switch to something else then;neutral
ahh it was so amazing! and I am now in love with David Archuleta;positive
getttin ready.;neutral
i dont think you can vote anymore!;negative
bother;negative
DON`T PANIC! Hehe, it will be fine. Email it to me;neutral
Iiight thanks.;positive
Constructivist learning theory - anybody? Oh wait..... there`s always wikipedia right?!;neutral
most epic we;positive
yes  lol;neutral
But can you breathe OK?;neutral
,love;positive
stupid.;negative
Good morning!!!! Yes is 5:57am;neutral
There is a baby cardinal fallen out of its nest. I dont want to get attacked by the mom bird but i dont want the dog to get the bird;neutral
y. I miss you too;negative
KMF going smoothly so far. Free stuff is always a plus.;positive
hoping;positive
Oh no, but that means that you won`t be able to get pwned by my shottie this weekend;neutral
We don`t really offer that service as we`re web/graphic designers and not desktop publishers. So, I thought maybe you could help?;neutral
SUNNY DAY!  going down to Stonehenge with my parents...;neutral
miss;negative
_west one day the hubs and I WILL take one of those. There`s actually a missions cruise that we want to go on. It has music too.;neutral
Oh and I hope Miller has a better day too;positive
bummer;negative
just because you`re a superstar it doesn`t mean you have to do that !;neutral
watching HGTV at 236am lol wtf must love me some home decor;neutral
In bed eating chocolates after 2 super parties, yay  playing with the new camera - could I be an amazing photographer?;neutral
yeah that will keep my mid section down;neutral
For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q;neutral
omg i had that book its soo funny;positive
Hope u had a lovely time away;positive
ds amazin;positive
heyy  watching the simpson  with shezza and paula;neutral
hi Add me.  it`s shannen;neutral
im so jealous;negative
hey twitter! i`m back online!;neutral
. I love Providence;positive
Happened to me the other day.  Was wearing a necklace that made a white spot on my chest.;neutral
Never touched a drop, me!;neutral
is a college graduate;neutral
Hate;negative
It was crazy all day today and I have a feeling it`s going to be that way tomorrow, too.  Enjoy your couple of days off though;neutral
pretty tired after a nice full day.;positive
I like;positive
thanx very much;positive
has gone through about 6 tea bags , call me obbsessed , i say thirsty;neutral
_Molecule where is Sackiroth;neutral
perfect;positive
Feeling like **** today. Hopefully;neutral
'May the 4th' be wit;positive
Wah, why are you sad?;neutral
sad;negative
thanks  this one will be a hit.;positive
*[ It`s time for TSCC!  ];neutral
Had great time;positive
Whole Earth Festival;neutral
check out this funny movie;positive
So lost  on my owm tryinh to find matter in the o2;neutral
s worth;positive
happy;positive
WOO!;positive
Beautiful;positive
I just broke a bottle, I should probably focus on work instead of thinking of more songgoeswrongs;neutral
Whoa man, now THAT was a great one. I went to Heaven for 5 seconds. U know why lah but pls shhh. LOL. So sorry u weren`t there!;neutral
My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!;neutral
ouuhh dont cry  i feel so sad right now;negative
I had to find out via twitter;neutral
not good!;negative
Another amazing night;positive
http://bit.ly/qiPUU  Jon 4 Lakers Video Blackberry;neutral
all the photos  niceeeee;positive
A relaxing;positive
i just got mine, but it wouldnt let me call you;neutral
why you never answer me...;negative
sunny, I`m a workin` on it. It`s very much in progress! Will let you know when it`s up;neutral
And a few more;neutral
On the bus to NYC   http://yfrog.com/08kaifj;neutral
we`re gonna miss you. dont worry, there will be more for sure!;neutral
sick;negative
overreaction..;negative
a chilled day  party tomorrow.;neutral
ugh  and its sooo pretty outside..;positive
funniest;positive
too bad;negative
you can explore the site 2 and find cool stuff;positive
Annoyed;negative
sorry we keep missing each other...;negative
Blessings and Jo;positive
Is now back at the school working on the bach.project;neutral
or least for the firmware upgrade. just buying some time until I get my tax return really;neutral
SUCK;negative
I don`t like Chris;negative
Thanks;positive
Awesome;positive
_chapman #whuffaoke is the same night as  at Gillette Stadium!;neutral
Madly in love;positive
Babysitting. Text me and keep me company;neutral
MISS;negative
Happy Mother`s Day;positive
supposed to be good;positive
thank;positive
can`t read it;negative
WHEE!;positive
passed away;negative
This wraps it up. Well, again a lesson that you shouldn`t take **** photos of yourself when you`re famous. Or maybe you really should!;neutral
twitter,facebook,myspace...no phone still;neutral
Wanted to take a photo of the storm, but misplaced my camera!;neutral
Indeed. Have a nice week!;positive
good!;positive
You`ve made me look at old pictures of my cats.  I want them to be kitties again;neutral
Thanks for the review,;positive
Well it`s after 6 and i didn`t get a call back  oh well;neutral
SO white now.;positive
horrible experience;negative
just got sold out from UP;neutral
Don`t count on it;negative
Playing some games before I leave for work   Work til at least 11PM tonight.;neutral
great.;positive
good;positive
can`t.  wish I was sleeping. Gotta be at work in less than 4 hours... Wait, what`re u doing up???!;neutral
have fun;positive
give me a chance;positive
puncture!!;negative
favorite;positive
What are you reading?;neutral
**** you rhinitis!;negative
3rd day of pain;neutral
Sweet;positive
a omg you win;positive
saddd.;negative
d without em`;negative
headache and colds..;negative
don`t have an appetite;negative
is gonna bleed ALL of us dry!;negative
now relaxed and well rested;positive
I had 2 hoes .. now I have none;neutral
I`m a bit bored;negative
LOVE YOOOOUUU.;positive
shes so cute,;positive
wow thats impressive! luckily im not in rush but i feel for friends who aren`t getting any younger but cant move house  tricky;neutral
good;positive
heyyyyy boo;neutral
Goodnight;positive
maybe you need to start a 'wholey created by evolution' or 'wholely composed of matter' flickr group;neutral
fun!;positive
Happy Mother`s Day to all Mothers out there;positive
And figuring out how to watch Middlesbrough games next year, after the dreaded drop.;neutral
is jealous of his family  their all having an amazing breakfast and all i get is rice crispies;neutral
maxin` and relaxin`, almost bed time;neutral
best;positive
In the university with hungry!!;neutral
kids out for summer/ pool has been taken over/ no more tanning girls  #haiku #yayschoolisout #sarcasm;neutral
sucks!;negative
Happiness is like peeing your pants...nobody can see it but only you can feel it`s warm sensation;positive
sooo tired,;negative
I dont get twitter  Someone help me!;neutral
i know u r!  i wont be there til the 6pm service..will u be there?;neutral
this is pretty helpful, and kinda cool actually;positive
It`s Raining!;neutral
not at my workplace.   but a short-sleeved shirt is absolutely necessary today;neutral
i miss my long hairrr;negative
I want some....LOL  I got the coffee ha ha;neutral
Finally upgraded to Spotify premium - exceeded my threshold of awesomeness some time ago.;positive
good;positive
? I like jackets.;positive
Recogns he could get his assignments out of the way by June  bring it on;neutral
better get some sleep soon. she has to get up and go to Sunday meetin` so she can pass out invites to her jewelery party.;neutral
congratulation;positive
You can go to www.TwitPic.com and log in with your Twitter details to add pics;neutral
hey!  not much, you?;neutral
sick.;negative
working mad hard;negative
LOVE;positive
download iEmoticons from the AppStore. 0,79ï¿½. But cool;neutral
Relaxing;positive
hi kendra whats up? follow me;neutral
relaxing night at home with best people;positive
Anyone having twitter issues? It`s eating my tweets.;neutral
miss;negative
depressing;negative
Wish;positive
its too warm;negative
y`s gre;positive
ok, i`m actually going to sleep now =] i`ve been on here only an hour...i tweet far too much already;neutral
thanks for following!  pretty complicated id you have there lol;neutral
ur taking tease lessons from the guys! No fair   LOL, oh well, we`ll wait as patiently as we can;neutral
I miss you too;negative
going to take my sociology exam   and back to bed;neutral
going to bed soon;neutral
wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8;negative
_prototype09 no where I`m working for a bit up here;neutral
POSITIVE;positive
happy;positive
Worried;negative
.your blog won`t let me post a comment.;negative
havent ate today;negative
Feel so depressed that I couldn`t save it... Thanks for nothing!;negative
Hopefully;positive
yeah i work 7 days;neutral
I used to row in high school and just found out there is a rowing club ten minutes away from me so I thought I should sign up;neutral
Tom, get ready, here in Porto Alegre is really cold;neutral
#�NOMBRE?;neutral
more coffee;neutral
you`ve go mail;neutral
my monday starts on friday  but @ least I only work 4 days a week (long days);neutral
next time? I might not get there this time if the bus has anything to do with it;neutral
good morning hun!;positive
exhausting.;negative
Sorry;negative
Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf;negative
Thank you for the rec but that doesn`t work;neutral
Tiring;negative
sorry,;negative
You`re going to the UK?! Take me with!;neutral
I`m really excited;positive
was in Palawan a couple of days ago, i`ll try to post pictures tom.;neutral
Clive it`s my birthday pat me;neutral
no new episodes for hitman reborn yet;neutral
yay!;positive
Mucking about on Guitar Rig 3. The demo, that is;neutral
goood;positive
sore!;negative
Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho;positive
motivated;positive
cheered;positive
tired;negative
No shoes for me.;neutral
fun;positive
I WILL CRY!!;negative
We`re not gonna be able to talk again;negative
Cool.;positive
good;positive
hapee;positive
pulleaase dont hate me if u ask me a question and i dont answer you ... at any given time. i just cant see you! sorry;neutral
Congrats on your bike ride today.. Very impressive indeed.;positive
have fun;positive
eventful..;positive
ohh ****;negative
dying on me;negative
shame;negative
so ill have a few free days a week... ill hit u up;negative
my little booboo is sick;negative
Happy mothers day;positive
you can`t please everybody.;neutral
It hurts so bad;negative
wow. hehehe. mushy-mushy mode.;positive
Eh.. it`s cold;neutral
. hope ur lookin 4ward;positive
Thanks,;positive
class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I`ll forget -_-;neutral
good;positive
Your post reminded me to sit something out. Looks like steak for dinner;neutral
Sturday night live;neutral
I wov you;neutral
badly;negative
ok i believe you.but i have a belly button.lol;neutral
Wow thanks a lot!;positive
no wayyy, that`s too funny.  well he sure is missing out, but ever since you left, i feel i am too  when is your next visit?;neutral
AAAAARRRRGGGHHH!;negative
looks same in Noida too;neutral
attacked;negative
just completely lame. I`m sorry dude.;negative
we watched that one day in the middle of playing-- it REALLY doesn`t hold up;negative
Charlotte We should! There will be another thrown I`m sure but this one will be with my American family;neutral
im sorry.;negative
good;positive
sucks;negative
wut itell u yesterday lol;neutral
Waiting at the car wash to see what they say about Amara.;neutral
good.;positive
i think i have mine in hangers in the closet;neutral
It says the video is private;neutral
i think i been followin u 4 bout a week so yea kinda;neutral
happy.;positive
good;positive
missed;negative
sad;negative
Quite excited;positive
Happy Star Wars Day.every one;positive
Dumb;negative
Heading to the hospital to sort out my back, not looking forward to this;neutral
i feel u  but its sooo close to me hard not to  but i cant so no point ug;negative
love it wh;positive
Cant wait to see the 3d concert;positive
so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late;negative
lead;positive
sounds good though.;positive
w hope uve hada good day;positive
I want a new lappy;neutral
Have a great day.;positive
haha dont we ever do that before  many times;neutral
is really really ready!;neutral
I can`t vote for you  they have stopped the voting;neutral
watching JONAS;neutral
same thing happens to me all the time;neutral
Happy;positive
Aw you named your car, that`s very sweet. I`m sorry to hear that Petey has to go, I hope you find a really posh rollerskate.;neutral
best of dreams;positive
great;positive
Installing a new hard drive! Gotta redo everything though;neutral
officially the BEST way;positive
Unfortunately these heffas decided to take an impromptu mall trip;negative
Just saw a land rover pull into the school parking lot and thought it was spencer;neutral
Raining in Calicut.;neutral
commercial shoot in Tokyo. not much time to play there   quick and dirt;neutral
Sims 3 wouldn`t work on my old macbook  hope to get Sims 2 by tomorrow.;neutral
we`re waiting you here in Belgrade!! Can`t wait!!;neutral
laugh;positive
Happy;positive
Looks like no diamond ball for me;negative
boo hoo!;positive
e doesnt try to violently;positive
Early lunch then getting all dressed up for Amy`s confirmation;neutral
Thanx;positive
you might have missed my latest experiment - I know blogs have too many words these days  http://tinyurl.com/ne6twc;neutral
Ugh worried about my math test;negative
might just have made me cry;negative
special;positive
happy;positive
Gotta love nasty weatherrrrr.  so jealous ur at knotts;neutral
tierd;negative
haha.. good for you;positive
None to be had;negative
I don`t think I`m very well.;negative
en, hope it doesn`t rain;positive
broke,;negative
Good morning;positive
e Fine;positive
should stop relying;negative
Hopefully;positive
No, seriously you guys, I /wanted/ to kick Monday off wit;negative
Just got back from Carlton in Greenville.  Benz is getting serviced.  Time to make some money.    I think I`ll make some sales calls.;neutral
Dammit!;negative
y hope;positive
my parents sold my car.;neutral
bad,;negative
pleasure;positive
restrictions!;negative
Has Ruth today;neutral
diesel yaris... 70mpg  so sad its not available in the US. That`d be awesome.;neutral
a wonderfu;positive
When does it close? I didn`t think it`d been running that long? I still haven`t had chance to see it!;neutral
() oh snap;neutral
Good night;positive
NEED SOMEONE TO CHEER ME UP;positive
Bored;negative
why did i agree to work a double shift;neutral
the annual problem of r generation is finding a good way 2 spend it!!;neutral
dorky.;negative
hurt;negative
aww;positive
failing;negative
glad;positive
Good;positive
good;positive
**** M-Audio IE-30s! I just remembered how much I <3 u & now the right earbud has ceased functioning  My Shure`s r 2 bright w/ lame bass.;neutral
no problemo!!;positive
and so to London in a car that`s about 500 degrees with no air con!;neutral
Actually SoS won`t be here, VI will be accompanied by Gliss and Make Me. The day after Brandi Carlile, busy month gigwise;neutral
lied!;negative
But I`m not so I guess I`ll just have a cup of coffee instead.;neutral
i know!  This season has just zoomed by!;neutral
thanks;positive
love;positive
On our way to Disneyland... Without Retsi;neutral
fun;positive
poor;negative
Someone fly me to Reno;neutral
more packing, cleaning, and getting **** done. last day in this apartment. this time tomorrow my **** will be in storage;neutral
has a tummy ache;negative
Sleep-fail.;negative
looking for new ideas for my blog;neutral
What a miserable day;negative
gutted;negative
Less rain more sunshine;neutral
Thanks;positive
Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA;neutral
sucks.;negative
Soooo romantic ev;positive
i lose.;negative
noooooooo  i miss you;negative
awesome;positive
Good;positive
Hmph.;negative
tired.;negative
No  tonight;neutral
nice;positive
where is the sunshine...the only thing i see are clouds...;neutral
****;negative
pretty much ever HP except the one i wanted to look at;positive
It isn`t moving fast enough.;negative
Happy;positive
liking;positive
so our bums really do look big it this;neutral
. Boring;negative
didn`t;negative
well u weren`t around 2 twit;neutral
that`s enough! I`ll do nothing for 2 hours.;neutral
miss;negative
****!;negative
Yep.;neutral
sorry;negative
Munch away, my dear Watson, Munch away;neutral
that`s crazy why would anyone not follow you? Your tweets are so much fun;neutral
Thank you!  The best to you and yours tomorrow... I hope you all have a lovely day together!!;positive
see you..... 08.08.09;neutral
ready to go to Milan  see ya`ll this evening..;neutral
hanging with amber.;neutral
hates;negative
fun;positive
You`re not kidding when you say you have to be fast, are you?  I was there like 5 seconds after your tweet: nothing.;neutral
going to look at a bunch of open homes today. just to get a feel for the market. i think i`ve got a lot of saving to do...;neutral
unfortunately;negative
y. Lol;positive
Surely you have guessed, the Arbiter is no other than Judith.;neutral
loves;positive
yeahhh. &dont judge my pillow;neutral
wish!;positive
hurts;negative
No good;negative
Can`t watch anymore;negative
good!!;positive
cuuuute;positive
nauseatingly;negative
Yes! Cold coffee from yesterday. No sugar, no cream !  The way I like it !;positive
Starving. And Alyssa`s mom would bring her subway.;neutral
thanks, still waiting... i don`t know what`s taking him so long - is it a bad sign or good sign?;neutral
had a shitload of fun with her friends;positive
public bathrooms;neutral
Everything I usually watch is pending!;neutral
pains;negative
forgot the montel quote  and it was a good one..;neutral
Why am I still away at 4am? Cos I don`t have school tomorrow, that`s why.;neutral
i appreciate;positive
I just spent 45 minutes at the book store. I only bought one book.;neutral
As charming for his 2 sisters as it is for the other female guests, I`m sure;positive
super excited;positive
dreading work tomorrow wish I had one more day off;neutral
sorry;negative
lacey is alright though. quite a few gashes, and she keeps her tail between her legs;neutral
Kazim Kazim  i didn`t know that name )));neutral
FLASH IS BEING **** TONIGHT!;negative
Yea, us 3 and Max  Poor Trivun;neutral
im away from the comp....  ill be back later;neutral
enjoy;positive
suivez moi  (=  follow me everybody;neutral
Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!;neutral
Welcome, found her yesterday by accident.;neutral
what are you doing here? I thought you were back at work today!;neutral
goodluck;positive
weird;negative
sitting at the chevy dealership in utah waiting for the van to be fixed;neutral
Thanks;positive
Is there going to be a New-Brunswick, Canada Drive? lol I live far far away;neutral
fun;positive
>> HELP?;negative
favorite;positive
band practice;neutral
Lov;positive
and guess what ! ive got 20 % ! wow its impossible;negative
upgraded;neutral
didn`t put any treats on my food;negative
I love to jazzercise with Mrs. Underwood. I wish she was my chaperone.;positive
Bummer.;negative
Same as, it`s BS I tell you! Ah well, better attempt some;neutral
cold and rainy;neutral
Yep, they sang your song!;neutral
HAPPY;positive
'I can givee you anything but lovee' - Daniel Schuhmacher;neutral
sad;negative
enjoy;positive
I have a headache.;negative
Wish I didn`t have to work today.;neutral
not in the fun way;negative
I really don`t want to send it over this site....it`s kinds private...;neutral
hanging with the cousin;neutral
I tried that pincode... and it says it is expired... you only just put it up;neutral
encourage;positive
good;positive
Is George still mending the car ?;neutral
hhhhhhaaaaaaaaaaaaa!!!! Yo u hve me in tears!...its all  fault he said u cancelled so I thought....;neutral
my finger hurts;negative
why does zero have to have thomas in it?;neutral
Wonderful trip!  Read all 4 Twilight novels.  Completely all consuming and engrossing.  Kinda sad to be done;neutral
Yes, sir!   See her;neutral
_carter it says the video is private... and won`t let me watch;neutral
Can`t, did I forget to say that?  hahaha   I wouldn`t be able to get home;neutral
Bore;negative
ly shade loving native wildflowers;positive
wish;positive
I lost followers  Was it something I said?  I swear I am not into freeballing.  Ugg that is the last time I mention that thing.;neutral
False hope!;negative
so great to hear from u again today! U r the best!;positive
In pillow heaven;positive
Lol;positive
maybe just a **** good coffee? Same dilemma, tho.;neutral
**** the whole Twitter silence ex;negative
hey! nice pic;positive
awkward flashing.;negative
Yeah.;neutral
Yes, you really should!;positive
i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.;neutral
Searching for wavy hairstyle;neutral
no luck in;negative
disconnected;negative
can`t go to;negative
awww poor little girl on britains got talent;negative
thks;positive
im so thankful;positive
LaLaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!!;neutral
sadly;negative
bleeds;negative
happy mother`s day mom. love you always;positive
-a loooooong journey completed today...so thankful!;positive
screams;negative
LOL I can imagine you doing that. Ken said to let you know he agreed with a gazillion percent of what was being said.;neutral
off to work again ... mercedez`s last day;neutral
lovely;positive
Yessir, yessir, three cheeks full.;neutral
stuck;negative
what did you do?haha. just wash your feet and go to bed,mommas boy;neutral
failed!;negative
wish;positive
went swimming with the fam for over 2 hours! we`re a little toasty;neutral
;
s problems;negative
Cute;positive
Feel hurt. in car. gonna watch a funny movie. someone talk;neutral
nice;positive
y headache;negative
Interesting.;positive
Paving your own road is intelligent only if nobody has gone exactly where you are going, come follow me;neutral
http://bit.ly/253ce  :: I got bit in the face by a doberman when I was four years old, I just wanted a kiss   My neighbor had about 13 ..;neutral
hurts;negative
not nice;negative
SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9`s with K kick. He shows A9.;neutral
thank you tiff;positive
y Mother Nature is making my life miserable;negative
I like  already;positive
Congratulations lo;positive
great;positive
always good to see you;positive
sorry;negative
i neeeeeeeed music suggestions but no one will give them;neutral
trafffffffic suckssss!;negative
BUZZ KEEP MAKING FUN OF ME;positive
I have one fastsmallballbuster`y question. & I promise not to weirdherout w/the fact it MAY be on my visionboard;neutral
beautiful.;positive
grounded;negative
nice;positive
s  I`m about ready to visit Torchwood;positive
my last tweet didn`t send  bad phone;neutral
love;positive
Thanks!  Unfortunately the EU had probs with his satellite provider, so even though his TV LOOKS great, it`s basically useless;neutral
Hi Simon, I`m new to this too - but just thought I`d tell you Jimmy Carr has tweeted that you make the Star Trek movie.;neutral
I`ve already got problems with battery & earpiece;negative
need to go to work soonish but i really dont want to  also trying to save money... life is fab (not);neutral
She loves this stuff.;positive
I missed;negative
When we got more followers we gonna have a competition.Hope you all look forward !;positive
I have an even dozen.  thanks for reminding me. I quilt 2 and make 3. LOL;neutral
nothing;neutral
bad;negative
good!;positive
poor;negative
Have you been going to the Trop for the last 5 years?  No more games for you!;neutral
Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho;neutral
i love;positive
borred;negative
hoping;positive
online!;neutral
much easier;positive
better;positive
i wish i was home in bed naked;negative
miss;negative
haha FINALLY !!  hiii friend .;neutral
I was so upset,;negative
cant scratch;negative
You know... time was, you could look at a Web page`s source code and figure out how it worked. Now it takes a lot more effort.;neutral
Nice - I had tickets for tonight`s game, but I`m staying home sick;neutral
love;positive
Yayyyyyyyyyyy!!!!! but thats sp far away!;neutral
Dang! Of course, I`m just jealous `cuz I didn`t think of it first;neutral
your tweeps have lots of mother wisdom to share.;positive
evil ****.;negative
I am blessed to have you in my life too 'mama'  Sorry about your back pain. You should do some stretches.;neutral
over-the-top happy.;positive
_autism BUT on the bright side you`re on twitter! Morning!;neutral
e missing;negative
i love;positive
haha neither am I. It doesn`t matter though you guys do what you want;neutral
well then take your sexy **** to sleep then foo.  how as your weekend mami?;neutral
I`m off! Well, home... I will see you soon!;neutral
s like a hot box an;negative
regret because i didnt take a chance;negative
i like the positivity;positive
cynthia and jenny are spamming my twitter! haha;neutral
I`M A CELEBRITY TOOOOO!;neutral
I VERY much appreciate that.;positive
I`ve experienced apathy over empathy;negative
summmmmerrrrr begins...yeahhhhhyaaaaaa;positive
polyester, protester, quester, semester, sequester...hope this helps;neutral
y, condolence;negative
trying to decide what to do tonight. Study Chem or write the night away. The night`s still young, perhaps I`ll do both;neutral
I`m really happy for u n leigh  thnx for sharing this happiness with us, this means the world to us all!  love ya! Mart;positive
is happy that tiff can`t drop BIO so she can suffer with me  nyayhahahah!;neutral
We want pictures as proof though;neutral
So.. finally finished setting up my  account. Will switch from  during this week;neutral
New constructions poping up all over there now;neutral
Not impressed!;negative
you certainly can, and good morning to you;neutral
thank god;positive
. thats cool.;positive
wish you were on your way to Tampa! FL girls are missing ya!;neutral
so good;positive
but her mommy wont let her  now;negative
Happy;positive
happy;positive
not proud of;negative
Thanks for the info;positive
happy birthday man!;positive
a nice;positive
anyways have a severe headache ryt now! i jst love dis cup of tea i made me self!! its makin the headache go away;neutral
now my bum hurts;negative
e nice;positive
Oh, these are all from www.overheardinlondon.co.uk The others were from the New York version.;neutral
oh no, sorry to hear abt Firefox crashing on you.;negative
just woke up from a nap...;neutral
i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?;neutral
Good morning world! I feel really sick.;neutral
Can`t find any pictures  !!!;neutral
it was fun;positive
ps it;positive
, seriously  The crazier the topic, the better;positive
Why don`t adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free;neutral
G`nimorning;positive
thats gonna kill me;negative
Use twitter, quit life;neutral
I <3 Owl City.;neutral
i want a top that says `;neutral
underpaid;negative
haha funny cause i blame  and  for me not going to bed  its a vicious circl;neutral
support;positive
and I bought FOUR ties  http://tinyurl.com/pvajlm;neutral
Trying to stay upbeat while I wait to get my keys out of my locked car;neutral
I almost cryed !;negative
pretty good Saturday;positive
sorry;negative
lovin;positive
Thanks! Fotoreportage coming soon;neutral
thank you,;positive
haha, cassie ventura? ...not after her haircut! where were you yesterday during the beat music awards?;neutral
disintegrating?;neutral
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.;neutral
(exausted);negative
c r a c k;negative
Its hard;negative
Very nice.;positive
that sounds foreboding...;negative
man u know things get very interesting sometimes lolll....im just 2 **** good;positive
4th may officially announced as `bad luck day` ..;negative
Time to rinse out my conditoner;neutral
happy;positive
Just finished her tennis match... Lost tho  6-3, 1-6, 4-6;neutral
e smh;negative
wants to go swimming;neutral
smack;negative
Hope;positive
i don`t!;negative
;
Wrestlefest was fun!;positive
woo hoo it;positive
hate;negative
I don`t know enough about #Sotomayor, but she made a big boo-boo talking about making law.  Doesn`t know what 3 branches do?;neutral
will be doing all the chores just for her mama;neutral
I would LOVE to ride the superman right now...;positive
Truck has bit the dust, don`t know if I`ll make the Mustangs game tomorrow;negative
yeah, guess we gotta wait til sometime in June;neutral
Happy mothers day to everyon;positive
in 8th grade yearbook: for narnia movie release blurb, pic of aslan and my skandar!;neutral
_carter http://twitpic.com/3mdce - ONE ROAD, WHERE IS THE DESTINATION?;neutral
any chance at getting to see this?  I can be there within an hour;neutral
wish;positive
Yeah, I posted it in the news blog yesterday.;neutral
made me smile;positive
hate;negative
i say business ive only sold 2....and its not RL money  ...but its got me back into photoshop again;neutral
Yummy!!!;positive
Goodnight;positive
looool .. me 2 !! ana i will vote 7ag ele ye6le3ni taqa3od now;neutral
been working all day, finally relaxing!! i miss you;neutral
yummmm;positive
****-face;negative
sorry;negative
save ev;positive
lost;negative
chilling at the casa;neutral
Heading home;neutral
sign up for tarte news http://tinyurl.com/dde2v6 my intro in the newsletter AND 20% off first purchase 2for1;neutral
The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web.;neutral
Adventures with jamie and bethhh;neutral
to enjoy a lovely bbq with the family, loving the may day holiday;positive
I don`t want to be sick no mores;negative
and what did you do last night, I don`t recall being invited;neutral
awesome shooeessss;positive
I still can`t find anything tempting;negative
Eatin nachos watchin the game.!  all i gOtta say is LebrOn is a Beast. ! dO anybOdy feel me.?;neutral
IS BORED. Can`t even tease people now;negative
Aw how come ur up so early? love ur youtube vids btw;positive
;
thank you!!;positive
how sweet;positive
Coool. - Weekend wasnï¿½t that great, eeeh. Whattttever.  Friday was better than I expected it to be, so I...;neutral
cool and aww;positive
would have been better, IMO, if it let you play through all 3 songs provided. I just start to 'get it' and it blacks out.;neutral
tired;negative
is sad because his tea and oatmeal are cold;negative
I wish;positive
Nooooothing to do tonight;negative
if only I had half the drive you had!!!  You are my idol;neutral
That is EXACTLY how I feel right now.;neutral
tegan and sara fan? follow them;neutral
Doin the **** Thing Here at the Crib..Bout to Watch Star Trek... Yup;neutral
won`t let me play;negative
we should all be down to earth. don`t none of us walk on water  I`m just some **** nerd trying to find my way thru life lol;neutral
cheer;positive
too nice  I love her!;positive
happy,;positive
41 Followers? Random people, but okay!;neutral
broken;negative
good;positive
I am glad;positive
Missed Justin on SNL! AGHHH! Just when I started to love him again, yes it`s one of those weeks.;neutral
excellent;positive
I`m sleeping on the wooden couch tonight!;neutral
time to lie in bed and watch tv;neutral
- Tweetie is using Yfrog now, I think, so any chance of adding it to the in-client image viewing?;neutral
the $60,000 i spent going to college was well spent.;positive
had a thrilling time with DAS joyride roadtrip! nice driving Pai and Paulo.;positive
Omg i here thunderrrr i wish i was home  i love cuddling with a blanky during a storm;neutral
sadness;negative
Thank;positive
Hahaha and your name comes up as predicted text. Pretty awesome;positive
seriously hung over;negative
dearly departed;negative
good job!;positive
Of back off other peoples he can only have one stalker;neutral
I need some DRANK & 'GRAPE KONTAKT' from my girlies  lol SOOOO SERIOUS!;neutral
I was sad to hear they shaved too  I really liked the beards. I feel like I`m in the minority.;neutral
Roasting;negative
oh great.;positive
yeah. No vomiting tonight, bit sniffly but ok.  bens trying to get him to sleep right now.;neutral
awesome,;positive
? Too busy;negative
I`m curious now;positive
Mode: Home Office;neutral
I love love love confit duck;positive
off to glue stuff onto poster;neutral
Happy Mothers Day;positive
Likewise. However, what was the comment about originally?;neutral
